block,component,output,absolute_time_index,block_time_index,scenario_index,value,basis_status
1,A,theta,1,1,0,0,Free
1,A,theta,2,2,0,0,Free
1,A,theta,3,3,0,0,Free
1,A,theta,4,4,0,0,Free
1,A,theta,5,5,0,0,Free
1,A,theta,6,6,0,0,Free
1,A,theta,7,7,0,0,Free
1,A,theta,8,8,0,0,Free
1,A,theta,9,9,0,0,Free
1,A,theta,10,10,0,0,Free
1,A,theta,11,11,0,0,Free
1,A,theta,12,12,0,0,Free
1,A,theta,13,13,0,0,Free
1,A,theta,14,14,0,0,Free
1,A,theta,15,15,0,0,Free
1,A,theta,16,16,0,0,Free
1,A,theta,17,17,0,0,Free
1,A,theta,18,18,0,0,Free
1,A,theta,19,19,0,0,Free
1,A,theta,20,20,0,0,Free
1,A,theta,21,21,0,0,Free
1,A,theta,22,22,0,0,Free
1,A,theta,23,23,0,0,Free
1,A,theta,24,24,0,0,Free
1,A,theta,25,25,0,0,Free
1,A,theta,26,26,0,0,Free
1,A,theta,27,27,0,0,Free
1,A,theta,28,28,0,0,Free
1,A,theta,29,29,0,0,Free
1,A,theta,30,30,0,0,Free
1,A,theta,31,31,0,0,Free
1,A,theta,32,32,0,0,Free
1,A,theta,33,33,0,0,Free
1,A,theta,34,34,0,0,Free
1,A,theta,35,35,0,0,Free
1,A,theta,36,36,0,0,Free
1,A,theta,37,37,0,0,Free
1,A,theta,38,38,0,0,Free
1,A,theta,39,39,0,0,Free
1,A,theta,40,40,0,0,Free
1,A,theta,41,41,0,0,Free
1,A,theta,42,42,0,0,Free
1,A,theta,43,43,0,0,Free
1,A,theta,44,44,0,0,Free
1,A,theta,45,45,0,0,Free
1,A,theta,46,46,0,0,Free
1,A,theta,47,47,0,0,Free
1,A,theta,48,48,0,0,Free
1,A,theta,49,49,0,0,Free
1,A,theta,50,50,0,0,Free
1,A,theta,51,51,0,0,Free
1,A,theta,52,52,0,0,Free
1,A,theta,53,53,0,0,Free
1,A,theta,54,54,0,0,Free
1,A,theta,55,55,0,0,Free
1,A,theta,56,56,0,0,Free
1,A,theta,57,57,0,0,Free
1,A,theta,58,58,0,0,Free
1,A,theta,59,59,0,0,Free
1,A,theta,60,60,0,0,Free
1,A,theta,61,61,0,0,Free
1,A,theta,62,62,0,0,Free
1,A,theta,63,63,0,0,Free
1,A,theta,64,64,0,0,Free
1,A,theta,65,65,0,0,Free
1,A,theta,66,66,0,0,Free
1,A,theta,67,67,0,0,Free
1,A,theta,68,68,0,0,Free
1,A,theta,69,69,0,0,Free
1,A,theta,70,70,0,0,Free
1,A,theta,71,71,0,0,Free
1,A,theta,72,72,0,0,Free
1,A,theta,73,73,0,0,Free
1,A,theta,74,74,0,0,Free
1,A,theta,75,75,0,0,Free
1,A,theta,76,76,0,0,Free
1,A,theta,77,77,0,0,Free
1,A,theta,78,78,0,0,Free
1,A,theta,79,79,0,0,Free
1,A,theta,80,80,0,0,Free
1,A,theta,81,81,0,0,Free
1,A,theta,82,82,0,0,Free
1,A,theta,83,83,0,0,Free
1,A,theta,84,84,0,0,Free
1,A,theta,85,85,0,0,Free
1,A,theta,86,86,0,0,Free
1,A,theta,87,87,0,0,Free
1,A,theta,88,88,0,0,Free
1,A,theta,89,89,0,0,Free
1,A,theta,90,90,0,0,Free
1,A,theta,91,91,0,0,Free
1,A,theta,92,92,0,0,Free
1,A,theta,93,93,0,0,Free
1,A,theta,94,94,0,0,Free
1,A,theta,95,95,0,0,Free
1,A,theta,96,96,0,0,Free
1,A,theta,97,97,0,0,Free
1,A,theta,98,98,0,0,Free
1,A,theta,99,99,0,0,Free
1,A,theta,100,100,0,0,Free
1,A,theta,101,101,0,0,Free
1,A,theta,102,102,0,0,Free
1,A,theta,103,103,0,0,Free
1,A,theta,104,104,0,0,Free
1,A,theta,105,105,0,0,Free
1,A,theta,106,106,0,0,Free
1,A,theta,107,107,0,0,Free
1,A,theta,108,108,0,0,Free
1,A,theta,109,109,0,0,Free
1,A,theta,110,110,0,0,Free
1,A,theta,111,111,0,0,Free
1,A,theta,112,112,0,0,Free
1,A,theta,113,113,0,0,Free
1,A,theta,114,114,0,0,Free
1,A,theta,115,115,0,0,Free
1,A,theta,116,116,0,0,Free
1,A,theta,117,117,0,0,Free
1,A,theta,118,118,0,0,Free
1,A,theta,119,119,0,0,Free
1,A,theta,120,120,0,0,Free
1,A,theta,121,121,0,0,Free
1,A,theta,122,122,0,0,Free
1,A,theta,123,123,0,0,Free
1,A,theta,124,124,0,0,Free
1,A,theta,125,125,0,0,Free
1,A,theta,126,126,0,0,Free
1,A,theta,127,127,0,0,Free
1,A,theta,128,128,0,0,Free
1,A,theta,129,129,0,0,Free
1,A,theta,130,130,0,0,Free
1,A,theta,131,131,0,0,Free
1,A,theta,132,132,0,0,Free
1,A,theta,133,133,0,0,Free
1,A,theta,134,134,0,0,Free
1,A,theta,135,135,0,0,Free
1,A,theta,136,136,0,0,Free
1,A,theta,137,137,0,0,Free
1,A,theta,138,138,0,0,Free
1,A,theta,139,139,0,0,Free
1,A,theta,140,140,0,0,Free
1,A,theta,141,141,0,0,Free
1,A,theta,142,142,0,0,Free
1,A,theta,143,143,0,0,Free
1,A,theta,144,144,0,0,Free
1,A,theta,145,145,0,0,Free
1,A,theta,146,146,0,0,Free
1,A,theta,147,147,0,0,Free
1,A,theta,148,148,0,0,Free
1,A,theta,149,149,0,0,Free
1,A,theta,150,150,0,0,Free
1,A,theta,151,151,0,0,Free
1,A,theta,152,152,0,0,Free
1,A,theta,153,153,0,0,Free
1,A,theta,154,154,0,0,Free
1,A,theta,155,155,0,0,Free
1,A,theta,156,156,0,0,Free
1,A,theta,157,157,0,0,Free
1,A,theta,158,158,0,0,Free
1,A,theta,159,159,0,0,Free
1,A,theta,160,160,0,0,Free
1,A,theta,161,161,0,0,Free
1,A,theta,162,162,0,0,Free
1,A,theta,163,163,0,0,Free
